GSM667608,"
H2AK5ac
      ","
Abcam
      ","
ab45152
      ","
727067
      "
GSM667609,"
H2AK5ac
      ","
Abcam
      ","
ab45152
      ","
727067
      "
GSM667610,"
H2BK12ac
      ","
Abcam
      ","
ab40883
      ","
727056
      "
GSM667611,"
H2BK12ac
      ","
Abcam
      ","
ab40883
      ","
727056
      "
GSM667612,"
H2BK5ac
      ","
Abcam
      ","
ab40886
      ","
529107
      "
GSM667613,"
H2BK5ac
      ","
Active Motif
      ","
39123
      ","
229
      "
GSM667614,"
H3K14ac
      ","
Abcam
      ","
ab52946
      ","
945863
      "
GSM667615,"
H3K14ac
      ","
Abcam
      ","
ab52946
      ","
945863
      "
GSM667616,"
H3K18ac
      ","
Abcam
      ","
ab1191
      ","
527530
      "
GSM667617,"
H3K23ac
      ","
Upstate
      ","
07-355
      ","
27133
      "
GSM667618,"
H3K23ac
      ","
Upstate
      ","
07-355
      ","
27133
      "
GSM667619,"
H3K23ac
      ","
Millipore
      ","
07-355
      ","
27133
      "
GSM667620,"
H3K23ac
      ","
Millipore
      ","
07-355
      ","
27133
      "
GSM667621,"
H3K23me2
      ","
Abcam
      ","
ab2370
      ","
13694
      "
GSM667622,"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM 1612188
      "
GSM667623,"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
707946
      "
GSM667624,"
H3K4ac
      ","
Upstate
      ","
07-539
      ","
26747
      "
GSM667625,"
H3K4ac
      ","
Upstate
      ","
07-539
      ","
26747
      "
GSM667626,"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
720417
      "
GSM667627,"
H3K56ac
      ","
Millipore
      ","
07-677
      ","
DAM1462569
      "
GSM667628,"
H3K56ac
      ","
Millipore
      ","
07-677
      ","
DAM1462569
      "
GSM667629,"
H3K79me1
      ","
Abcam
      ","
ab2886
      ","
502497
      "
GSM667630,"
H3K79me2
      ","
Abcam
      ","
ab3594
      ","
573640
      "
GSM667631,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
699671
      "
GSM667632,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
699671
      "
GSM667633,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
699671
      "
GSM667634,"
H4K20me1
      ","
Abcam
      ","
ab9051
      ","
519198
      "
GSM667635,"
H4K5ac
      ","
Upstate
      ","
up07-327
      ","
30417
      "
GSM667636,"
H4K5ac
      ","
Millipore
      ","
07-327
      ","
DAM 1641101
      "
GSM667637,"
H4K8ac
      ","
Millipore
      ","
Millipore07-328
      ","
DAM1543700
      "
GSM667638,"
H4K8ac
      ","
Millipore
      ","
07-328
      ","
DAM1543700
      "
GSM667639,"
H4K91ac
      ","
Abcam
      ","
ab4627
      ","
82963
      "
GSM667640,"
H4K91ac
      ","
Abcam
      ","
ab4627
      ","
82963
      "
GSM706062,"
H2BK15ac
      ","
Abcam
      ","
ab62335
      ","
727058
      "
GSM706063,"
H2BK15ac
      ","
Abcam
      ","
ab62335
      ","
727058
      "
GSM706064,"
H3K18ac
      ","
Abcam
      ","
ab1191
      ","
527530
      "
GSM706065,"
H3K27ac
      ","
Active Motif
      ","
AM 39133
      ","
19208002
      "
GSM706066,"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM1612188
      "
GSM706067,"
H3K27me3
      ","
Active Motif
      ","
AM39155
      ","
30508004
      "
GSM706068,"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM1612188
      "
GSM706069,"
H3K36me3
      ","
Abcam
      ","
Ab9050
      ","
707946
      "
GSM706070,"
H3K36me3
      ","
Abcam
      ","
Ab9050
      ","
707946
      "
GSM706071,"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
727417
      "
GSM706072,"
H3K4me1
      ","
Abcam
      ","
Ab8895
      ","
720417
      "
GSM706073,"
H3K4me1
      ","
Abcam
      ","
Ab8895
      ","
720417
      "
GSM706074,"
H3K4me3
      ","
Millipore
      ","
04-745
      ","
1606783
      "
GSM706075,"
H3K4me3
      ","
Millipore
      ","
04-745
      ","
NG1643014
      "
GSM706076,"
H3K56ac
      ","
Millipore
      ","
07-677
      ","
DAM1462569
      "
GSM706077,"
H3K79me1
      ","
Abcam
      ","
ab2886
      ","
679856
      "
GSM706078,"
H3K79me2
      ","
Active Motif
      ","
39143
      ","
177
      "
GSM706079,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
699671
      "
GSM706080,"
H3K9me3
      ","
Abcam
      ","
Ab8898
      ","
699671
      "
GSM752962,"
H2BK120ac
      ","
Active Motif
      ","
39119
      ","
255
      "
GSM752963,"
H2BK20ac
      ","
Millipore
      ","
07-347
      ","
22355
      "
GSM752964,"
H3K14ac
      ","
Abcam
      ","
ab52946
      ","
945863
      "
GSM752965,"
H3K27ac
      ","
Active Motif
      ","
AM 39133
      ","
19208002
      "
GSM752966,"
H3K27ac
      ","
Active Motif
      ","
AM 39133
      ","
19208002
      "
GSM752967,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM752968,"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM1612188
      "
GSM752969,"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM1612188
      "
GSM752970,"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM1612188
      "
GSM752971,"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM1612188
      "
GSM752972,"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
707946
      "
GSM752973,"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
707946
      "
GSM752974,"
H3K36me3
      ","
Abcam
      ","
Ab9050
      ","
707946
      "
GSM752975,"
H3K36me3
      ","
Abcam
      ","
Ab9050
      ","
707946
      "
GSM752976,"
H3K4ac
      ","
Upstate
      ","
07-539
      ","
26747
      "
GSM752977,"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
727417
      "
GSM752978,"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
727417
      "
GSM752979,"
H3K4me1
      ","
Abcam
      ","
Ab8895
      ","
720417
      "
GSM752980,"
H3K4me1
      ","
Abcam
      ","
Ab8895
      ","
720417
      "
GSM752981,"
H3K4me2
      ","
Abcam
      ","
ab32356
      ","
727055
      "
GSM752982,"
H3K4me2
      ","
Abcam
      ","
ab32356
      ","
727055
      "
GSM752983,"
H3K4me3
      ","
Millipore
      ","
04-745
      ","
NG1643014
      "
GSM752984,"
H3K4me3
      ","
Active Motif
      ","
39159
      ","
15808002
      "
GSM752985,"
H3K4me3
      ","
Active Motif
      ","
39159
      ","
15808002
      "
GSM752986,"
H3K9me1
      ","
Abcam
      ","
ab8896
      ","
377518
      "
GSM752987,"
H3K9me1
      ","
Abcam
      ","
ab8896
      ","
377518
      "
GSM752988,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
699671
      "
GSM752989,"
H3K9me3
      ","
Abcam
      ","
Ab8898
      ","
699671
      "
GSM752990,"
H4K5ac
      ","
Millipore
      ","
07-327
      ","
DAM1641101
      "
GSM752991,"
H4K91ac
      ","
Abcam
      ","
ab4627
      ","
82963
      "
GSM753425,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM753426,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM753427,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM753428,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM753429,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM753430,"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM1612188
      "
GSM753431,"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM1612188
      "
