biosample_property_no	biosample_no	property_name	property_value	is_current	date_created	created_by
46028a0e-f231-44bd-adb2-536b090781ce	Stellate	sex	F	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
72854938-4819-4e19-84e9-66d66ccc3499	Stellate	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
93582ed9-0822-4ec1-b7fc-aa322e9b93e8	Stellate	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
cbb62158-e09b-45c0-b8ed-3ca08019965d	Stellate	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
f6c3c47d-3d7f-4137-9831-adfb069b6fce	FibroP_AG20443	orderUrl	http://ccr.coriell.org/Sections/Search/Sample_Detail.aspx?Ref=AG20443&PgId=166	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
27985629-2d73-4dc4-a0d3-8a8f895ab0e1	FibroP_AG20443	sex	M	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
a74018a1-7b73-4a34-b485-36c1ae24ec40	FibroP_AG20443	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
26e43ba7-2fba-49eb-af34-e42d7af9ec83	FibroP_AG20443	karyotype	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
02445ab8-3877-4dd4-b0bd-ede5557ff79b	FibroP_AG20443	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
6af65a87-a82e-499a-abb0-5a4e81c61981	THelper-Activated	orderUrl	http://www.gs.washington.edu/faculty/stamj.htm	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
095d6c9e-fbc6-4f84-8b6c-44b2fc4dcca9	THelper-Activated	sex	U	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
287934e4-961a-4fcc-a3e8-a258fdb6421e	THelper-Activated	age	ageUnknown	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e4e3d381-0ec8-407b-b240-03b7fed4a016	THelper-Activated	karyotype	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
5e8afc26-5dcf-4341-acef-7f2f83b3e82f	THelper-Activated	tier	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
060c575d-cdc6-4698-a96f-00b0575367dd	HeadlessEmbryo	orderUrl	http://weill.cornell.edu/research/researcher/lselleri/	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e38671e3-378a-4dc8-b575-1e2d82f047a6	HeadlessEmbryo	sex	U	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e34a7a82-661f-4e03-be4a-89db9bfc2947	HeadlessEmbryo	age	ageUnknown	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
c1d72503-212d-4949-870f-bf88b293ea14	HeadlessEmbryo	karyotype	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
c3afb226-ff0e-4713-a623-55481addcb80	HeadlessEmbryo	tier	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
742ee096-d069-4c80-8535-356fce3f7305	HFDPC	orderUrl	http://www.promocell.com/nc/products/human-primary-cells/follicle-dermal-papilla-cells/?sword_list%5B%5D=HFDPC	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
6b525f0c-8e98-401e-8cc1-ebb10942dec7	HFDPC	sex	F	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
f232410b-79a9-4f1d-8beb-6eeafc9e5927	HFDPC	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d46b0bd8-6c1e-46d8-90a5-1116377aef57	HFDPC	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
277a14f8-a734-4064-9908-c314b6bd92ed	HFDPC	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
55777900-0812-4511-89dd-5667219f5314	HL-60	orderUrl	http://www.atcc.org/ATCCAdvancedCatalogSearch/ProductDetails/tabid/452/Default.aspx?ATCCNum=CCL-240&Template=cellBiology	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
84e79b09-6609-46e5-87a4-eab5dcb321e7	HL-60	sex	F	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
b83d3cb0-b5a2-4f36-8b7c-53e240a253e6	HL-60	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
564b843d-95e9-4c53-83f6-529cdfaf9510	HL-60	karyotype	cancer	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e4eb4d37-f989-4b43-980f-4995ef5834cb	HL-60	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
888bb4e8-a455-445e-8a51-09b6672eda4d	H9ES-E	orderUrl	http://www.wicell.org/index.php	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
bbdabc0b-a317-40c2-bedd-effc529dd025	H9ES-E	sex	F	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
c6baf312-f62d-4dd0-9aa2-14b633aba733	H9ES-E	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
2474e24c-848c-42ac-b026-872cd3dccdbf	H9ES-E	karyotype	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
3e6da8d0-ccfc-42d7-b6ad-c70df1be1731	H9ES-E	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e502aa3f-2b84-48b2-92a2-c5ad8ac1c78f	BC_Leukocyte_UHN00204	orderUrl	http://www.biochain.com	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
4f1bea87-b3a5-466e-8d83-184d9d40d029	BC_Leukocyte_UHN00204	sex	M	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
5b7a1fee-1247-4066-adc3-165423595cd1	BC_Leukocyte_UHN00204	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
b3a6df95-47e1-4466-a5b7-d7f569f8f0fd	BC_Leukocyte_UHN00204	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
039b9651-dc96-41f7-9948-2e95ff83985c	BC_Leukocyte_UHN00204	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1cfc1a25-f6c7-4161-abf2-05263430abd2	HPdLF	orderUrl	http://www.lonza.com/	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
db3e2770-b537-4703-bfbd-bb14ba36f801	HPdLF	sex	M	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
129e26ee-9e70-4d96-8321-581bb6695abf	HPdLF	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
61281a58-dfb3-42d3-b4ab-ae482f15c442	HPdLF	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
9190a09b-4137-43ba-ab0f-b7d694956cb2	HPdLF	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
dac7e1de-7dc9-4160-baa4-f4e8a5985007	Melano	orderUrl	http://www.sciencellonline.com/site/productDetails.php?keyword=2200	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ed1d4fca-42b5-44ac-aa93-4d869d766cb9	Melano	sex	U	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d951efdb-c492-454a-88e4-db6f1a03e209	Melano	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
73dd6c7c-7a18-4b10-b9e5-dc28cbd4b414	Melano	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
8cfdb80c-40e8-4b0f-a1a1-556c570e43dc	Melano	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
a426cf29-69c9-443f-be0e-309cc2a05b7c	Th1_Wb54553204	orderUrl	http://www.gs.washington.edu/faculty/stamj.htm	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
6653c1b3-b003-40eb-b445-f171df9e72af	Th1_Wb54553204	sex	M	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
cc5ef6ba-536b-4ef0-9891-d708c668b41d	Th1_Wb54553204	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
35edfa74-24b4-40e9-846a-f669ca9e5a5b	Th1_Wb54553204	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e51ee42a-f9f9-453a-b389-ece93c942d40	Th1_Wb54553204	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
b99a0a63-c91b-403b-aa92-2ddf09a37447	FVprogenitor	orderUrl	http://vbs.psu.edu/research/labs/paulson	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
b7c930ad-ca57-4342-ab99-e6478ae84cb3	FVprogenitor	sex	U	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
93ca2e29-24ff-4cc6-bd9a-bcf52cf7d680	FVprogenitor	age	ageUnknown	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
59b50049-e80d-4624-8085-e09b8dd7eb00	FVprogenitor	karyotype	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
665b6ea7-f2ae-4f84-958c-3aaa4e7eb686	FVprogenitor	tier	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
f64757c1-80f9-4f8d-b6b1-ddd03828975a	CMK	orderUrl	http://www.dsmz.de/human_and_animal_cell_lines/info.php?dsmz_nr=392&from=cell_line_index&select=search_for_term&term=CMK&preselect=human;hamster;mouse;rat;insect;other&firstload=0	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e0e27a16-b176-4f20-ba64-4c08cc387af5	CMK	sex	M	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
25644d47-1d1a-4207-956b-2812a10e36b1	CMK	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
64e5f608-deda-4bf9-9d46-a9d5cb47206d	CMK	karyotype	cancer	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
339f5190-6cc1-4353-94c2-a23a24919b9e	CMK	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e097374a-5239-4832-bea5-2d1f48a16e3b	HEK293(b)	orderUrl	http://www.atcc.org/ATCCAdvancedCatalogSearch/ProductDetails/tabid/452/Default.aspx?ATCCNum=CRL-1573&Template=cellBiology	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
f5b4d20b-1972-4fde-a79e-fbc4df65df98	HEK293(b)	sex	U	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
7866f65c-ca0d-4130-a91b-585752d530c6	HEK293(b)	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
0230cbc1-70b0-4300-a112-a2e53a622247	HEK293(b)	karyotype	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
754c3d24-5557-40ab-8c0f-c552a4ad751c	HEK293(b)	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e785074c-b35f-4fb5-ba56-0c8a8c9f7acb	Cord_CD4_Th1	orderUrl	http://138.26.61.118/depts/MEB/SOMResearchFaculty/currentfacultydata.asp?ID=DRDRDR	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
c6bf241e-6d6c-40a3-ae4d-205c64ed416f	Cord_CD4_Th1	sex	B	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
adf2f0d9-d403-4b74-93e1-5edae0c14001	Cord_CD4_Th1	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
82fbec1f-6759-4f0c-8c80-e99a5fc40132	Cord_CD4_Th1	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1ee3a5fa-625c-4fd5-bb2d-eec106f6a590	Cord_CD4_Th1	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
42421e22-8a1b-42c5-b6f0-deed591fd8d8	RWPE1	orderUrl	http://www.atcc.org/ATCCAdvancedCatalogSearch/ProductDetails/tabid/452/Default.aspx?ATCCNum=CRL-11609&Template=cellBiology	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d360b695-9210-403a-b0c0-3f5e6bc4370b	RWPE1	sex	M	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ebbc57a6-a82b-42c4-b953-f2ca45968cd6	RWPE1	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1a74fa04-d933-4203-981d-459befc764db	RWPE1	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
721ba9d0-01ce-4122-a57f-67e45b7f7caa	RWPE1	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
7f36dab6-4d98-457c-aa26-2312235d429d	hMSC-BM_0051105.11	orderUrl	http://www.promocell.com/products/human-stem-and-blood-cells/mesenchymal-stem-cells/human-mesenchymal-stem-cells-from-bone-marrow-hmsc-bm	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
09ce6fe8-2ba0-4a9d-b841-00cda0c6a8c6	hMSC-BM_0051105.11	sex	F	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
3fcebf6a-6245-4eb2-b9e2-027e258c37b6	hMSC-BM_0051105.11	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
b47233d4-bdcd-4b2e-aea2-58ad59eab2ff	hMSC-BM_0051105.11	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1cc3f924-fcc5-4776-b41b-da6fa34d9bc3	hMSC-BM_0051105.11	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
f76485b4-2402-4038-aca0-11469811ac95	NT2-D1	orderUrl	http://www.atcc.org/ATCCAdvancedCatalogSearch/ProductDetails/tabid/452/Default.aspx?ATCCNum=CRL-1973&Template=cellBiology	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
579339d7-5ba0-4e49-b389-aee20e35fbd8	NT2-D1	sex	M	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
6d0ecf66-462d-4a63-aeee-2051c7bd222b	NT2-D1	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
c9b15d39-6f10-4798-b077-5cca7fa92850	NT2-D1	karyotype	cancer	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
f62fd4e4-ddaa-49bd-9474-99cb2c99feb2	NT2-D1	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
c214705e-28ec-4556-be1d-e8ea21cae874	K562	orderUrl	http://www.atcc.org/ATCCAdvancedCatalogSearch/ProductDetails/tabid/452/Default.aspx?ATCCNum=CCL-243&Template=cellBiology	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
8bd412f8-2765-452e-b2e3-07b8e1f164d4	K562	sex	F	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
50804c1e-d9cb-4c21-a245-e53a53b75416	K562	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
59d0f32a-989d-4ee9-a99e-3c83b9659cef	K562	karyotype	cancer	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
