biosample_term_id	biosample_term_name	biosample_label	biosample_type	organism_no	treatment_no	source_no	product_id	lot_id	subcellular_location
BTO:0002062	GM13977	GM13977	missing	human	missing	Coriell	GM13977	missing	missing
BTO:0002062	GM20000	GM20000	missing	human	missing	Coriell	GM20000	missing	missing
AMAD:16230	GenitalFatPad	GFAT	tissue	mouse	missing	1)Dr. John Stamatoyannopoulos at UW; 2)CSHL lab	Genital Fat Pad; Gonadal Adipose Tissue	missing	missing
BTO:0000527	Gliobla	GLIOBLA	missing	human	missing	Dr. Darrell Bigner at Duke University Medical Center	D54	missing	missing
BTO:0002807	H0287	H0287	missing	human	missing	Dr. John Stamatoyannopoulos at UW	H0287	missing	missing
CL:0000007	H1-hESC	H1HESC	missing	human	missing	WiCell Research Institute	WA01	missing	missing
BTO:0000938	H1-neurons	H1NEURONS	missing	human	missing	CDI	TBD	missing	missing
BTO:0001086	H7-hESC	H7ES	missing	human	missing	WiCell Research Institute	WA07 (H7)	missing	missing
BTO:0001086	H9ES	H9ES	missing	human	missing	WiCell Research Institute	WA09 (H9)	missing	missing
BTO:0001086	H9ES-AFP+	H9ESAFP	missing	human	missing	WiCell Research Institute	WA09 (H9)	missing	missing
BTO:0001086	H9ES-AFP-	H9ESAFPb	missing	human	missing	WiCell Research Institute	WA09 (H9)	missing	missing
BTO:0001086	H9ES-CM	H9ESCM	missing	human	missing	WiCell Research Institute	WA09 (H9)	missing	missing
BTO:0001086	H9ES-E	H9ESE	missing	human	missing	WiCell Research Institute	WA09 (H9)	missing	missing
BTO:0001086	H9ES-EB	H9ESEB	missing	human	missing	WiCell Research Institute	WA09 (H9)	missing	missing
BTO:0001086	H9ES-EBD	H9ESEBD	missing	human	missing	WiCell Research Institute	WA09 (H9)	missing	missing
BTO:0000099	HA-h	HAH	missing	human	missing	ScienCell	1830	missing	missing
BTO:0000099	HA-sp	HASP	missing	human	missing	ScienCell	1820	missing	missing
BTO:0004660	HAEpiC	HAE	missing	human	missing	ScienCell	7110	missing	missing
BTO:0000759	HAL	HAL	missing	human	missing	Asterand, Inc.	HAL	missing	missing
BTO:0000099	HAc	HAC	missing	human	missing	ScienCell	1810	missing	missing
BTO:0000135	HAoAF	HAOAF	missing	human	missing	PromoCell	HAoAF	missing	missing
BTO:0000135	HAoAF_6090101.11	HAOAF609010111	missing	human	missing	PromoCell	C-14037	missing	missing
BTO:0000135	HAoAF_6111301.9	HAOAF61113019	missing	human	missing	PromoCell	C-14037	missing	missing
BTO:0000394	HAoEC	HAOEC	missing	human	missing	PromoCell	HAoEC	missing	missing
BTO:0000394	HAoEC_7071706.1	HAOEC70717061	missing	human	missing	PromoCell	C-14023	missing	missing
BTO:0000394	HAoEC_8061102.1	HAOEC80611021	missing	human	missing	PromoCell	C-14023	missing	missing
BTO:0003636	HBMEC	HBMEC	missing	human	missing	ScienCell	1000	missing	missing
BTO:0002441	HBVP	HBVP	missing	human	missing	ScienCell	1200	missing	missing
BTO:0002488	HBVSMC	HBVSMC	missing	human	missing	ScienCell	1100	missing	missing
BTO:0003093	HCF	HCF	missing	human	missing	ScienCell	6300	missing	missing
BTO:0003093	HCFaa	HCFAA	missing	human	missing	ScienCell	6320	missing	missing
BTO:0000249	HCH	HCH	missing	human	missing	PromoCell	HCH	missing	missing
BTO:0000249	HCH_0011308.2P	HCH00113082P	missing	human	missing	PromoCell	C-14070	missing	missing
BTO:0000249	HCH_8100808.2	HCH81008082	missing	human	missing	PromoCell	C-14070	missing	missing
BTO:0001539	HCM	HCM	missing	human	missing	ScienCell	6200	missing	missing
BTO:0000258	HCPEpiC	HCPE	missing	human	missing	ScienCell	1310	missing	missing
BTO:0002254	HCT-116	HCT116	missing	human	missing	ATCC	CCL-247	missing	missing
BTO:0003415	HConF	HCONF	missing	human	missing	ScienCell	6570	missing	missing
BTO:0001578	HEEpiC	HEE	missing	human	missing	ScienCell	2720	missing	missing
BTO:0000007	HEK293	HEK293	missing	human	missing	ATCC	CRL-1573	missing	missing
BTO:0000007	HEK293(b)	HEK293b	missing	human	missing	ATCC	CRL-1573	missing	missing
BTO:0000007	HEK293-T-REx	HEK293TREx	missing	human	missing	Invitrogen	r71007	missing	missing
BTO:0000007	HEK293T	HEK293T	missing	human	missing	Thermo Scientific Open Biosystems	HCL4517	missing	missing
BTO:0001849	HFDPC	HFDPC	missing	human	missing	PromoCell	HFDPC	missing	missing
BTO:0001849	HFDPC_0100503.2	HFDPC01005032	missing	human	missing	PromoCell	C-14005	missing	missing
BTO:0001849	HFDPC_0102703.3	HFDPC01027033	missing	human	missing	PromoCell	C-14005	missing	missing
BTO:0002245	HFF	HFF	missing	human	missing	Dr. Beverly Torok-Storb at Fred Hutchison Cancer Research Center	HFF	missing	missing
BTO:0002245	HFF-Myc	HFFMYC	missing	human	missing	Dr. Beverly Torok-Storb at Fred Hutchison Cancer Research Center	HFF-Myc	missing	missing
BTO:0000759	HFL11W	HFL11W	missing	human	missing	Unknown	HFL11W	missing	missing
BTO:0000759	HFL24W	HFL24W	missing	human	missing	Unknown	HFL24W	missing	missing
BTO:0001251	HHSEC	HHSEC	missing	human	missing	ScienCell	5000	missing	missing
BTO:0000653	HIPEpiC	HIPE	missing	human	missing	ScienCell	6560	missing	missing
BTO:0000738	HL-60	HL60	missing	human	missing	ATCC	CCL-240	missing	missing
BTO:0002178	HMEC	HMEC	missing	human	missing	Lonza	CC-2551	missing	missing
BTO:0002178	HMEpC	HMEPC	missing	human	missing	PromoCell	HMEpC	missing	missing
BTO:0002178	HMEpC_6022801.3	HMEPC60228013	missing	human	missing	PromoCell	C-14066	missing	missing
BTO:0000817	HMF	HMF	missing	human	missing	ScienCell	7630	missing	missing
BTO:0003599	HMVEC-LBl	HMVECh	missing	human	missing	Lonza	CC-2815, CC-2815T75	missing	missing
BTO:0003599	HMVEC-LLy	HMVECb	missing	human	missing	Lonza	CC-2814, CC-2814T25	missing	missing
BTO:0001854	HMVEC-dAd	HMVECDAD	missing	human	missing	Lonza	CC-2543,CC-3202	missing	missing
BTO:0004574	HMVEC-dBl-Ad	HMVECc	missing	human	missing	Lonza	CC-2811, CC-2811T75	missing	missing
BTO:0004574	HMVEC-dBl-Neo	HMVECd	missing	human	missing	Lonza	CC-2813, CC-2813T75	missing	missing
BTO:0004574	HMVEC-dLy-Ad	HMVECe	missing	human	missing	Lonza	CC-2810, CC-2810T75	missing	missing
BTO:0004574	HMVEC-dLy-Neo	HMVECf	missing	human	missing	Lonza	CC-2812, CC-2812T25	missing	missing
BTO:0004574	HMVEC-dNeo	HMVECg	missing	human	missing	Lonza	CC-2505, CC-2505T225	missing	missing
BTO:0001770	HNPCEpiC	HNPCE	missing	human	missing	ScienCell	6580	missing	missing
BTO:0004324	HOB	HOB	missing	human	missing	PromoCell	HOB	missing	missing
BTO:0004324	HOB_0090202.1	HOB00902021	missing	human	missing	PromoCell	C-14071	missing	missing
BTO:0004324	HOB_0091301	HOB0091301	missing	human	missing	PromoCell	C-14071	missing	missing
BTO:0001141	HPAEC	HPAEC	missing	human	missing	Lonza	CC-2530,CC-3162	missing	missing
BTO:0003511	HPAEpiC	HPAE	missing	human	missing	ScienCell	3200	missing	missing
BTO:0000778	HPAF	HPAF	missing	human	missing	ScienCell	3120	missing	missing
BTO:0001975	HPC-PL	HPCPL	missing	human	missing	PromoCell	pericytes	missing	missing
BTO:0001975	HPC-PL_0032601.13	HPCPL003260113	missing	human	missing	PromoCell	C-14095	missing	missing
BTO:0001975	HPC-PL_0101504.13	HPCPL010150413	missing	human	missing	PromoCell	C-14095	missing	missing
BTO:0002362	HPDE6-E6E7	HPDE6E6E7	missing	human	missing	Dr. Ming-Sound Tsao, Ontario Cancer Institute	HPDE6-E6E7	missing	missing
BTO:0000764	HPF	HPF	missing	human	missing	ScienCell	3300	missing	missing
BTO:0001975	HPIEpC	HPIEPC	missing	human	missing	PromoCell	human-placental-epithelial-cells-hplepc	missing	missing
BTO:0001975	HPIEpC_9012801.2	HPIEPC90128012	missing	human	missing	PromoCell	C-14069	missing	missing
BTO:0001975	HPIEpC_9041503.2	HPIEPC90415032	missing	human	missing	PromoCell	C-14069	missing	missing
BTO:0001020	HPdLF	HPDLF	missing	human	missing	Lonza	CC-7049	missing	missing
BTO:0001176	HRGEC	HRGEC	missing	human	missing	ScienCell	4000	missing	missing
BTO:0001177	HRPEpiC	HRPE	missing	human	missing	ScienCell	6540	missing	missing
BTO:0000222	HSMM_FSHD	HSMMFSHD	missing	human	missing	Duke/UNC/UT/EBI ENCODE group	HSMM_FSHD	missing	missing
BTO:0000222	HSMM_emb	HSMMEMB	missing	human	missing	Duke/UNC/UT/EBI ENCODE group	fetal myoblast cell strain (H246 and H275) from Dr Stephen Hauschka- U. of Washington 1980	missing	missing
BTO:0001760	HSMMtube_FSHD	HSMMTUBEFSHD	missing	human	missing	Duke/UNC/UT/EBI ENCODE group	HSMMtube_FSHD	missing	missing
BTO:0001760	HSMMtube_emb	HSMMTUBEEMB	missing	human	missing	Duke/UNC/UT/EBI ENCODE group	fetal myoblast cell strain (H246 and H275) from Dr Stephen Hauschka- U. of Washington 1980	missing	missing
BTO:0003275	HSaVEC	HSAVEC	missing	human	missing	PromoCell	HSaVEC	missing	missing
BTO:0003275	HSaVEC_0022202.16	HSAVEC002220216	missing	human	missing	PromoCell	C-14025	missing	missing
BTO:0003275	HSaVEC_9100101.15	HSAVEC910010115	missing	human	missing	PromoCell	C-14025	missing	missing
BTO:0001282	HT-1080	HT1080	missing	human	missing	ATCC	CCL-121	missing	missing
